title,url,image url,description,verdict,pros,cons,price
Brother HL-L9200CDWT colour laser printer ,https://www.techadvisor.com/review/brother-hl-l9200cdwt-colour-laser-printer-review-3533617/,https://www.techadvisor.com/cmsdata/reviews/3533617/brother_hll9200cdwt_1_thumb800.jpg,The Brother HL-L9200CDWT is a speedy and sturdy colour printer that produces good quality prints at high volumes. Here's our Brother HL-L9200CDWT review.,"For middle to larger businesses needing a speedy and sturdy colour printer which can churn out good volume and quality with all connectivity options covered without costing the earth, Brother's HL-L9200CDWT ticks all the boxes.",,,$895
Dexim XPowerSkin Battery Case ,https://www.techadvisor.com/review/dexim-xpowerskin-battery-case-review-3530433/,https://www.techadvisor.com/cmsdata/reviews/3530433/Dexim-XPowerSkin-battery-iPhone_thumb800.jpg,The Dexim XPowerSkin is a battery case for iPhone 5 and 5s that underperforms and is over priced.,"The Dexim XPowerSkin looks good but feels a bit cheap and underperforms for its £70 price tag, when compared to better-built cases from the likes of Mophie and Powersuit. Its 2,000mAh battery offers just a 70% charge, and the two-part case itself is super-difficult to remove, which is frustrating when it comes to sync time. At half the price it might be worth considering if you don’t mind the hassle of getting the case off.",,,
Canon PIXMA iP2850 inkjet printer ,https://www.techadvisor.com/review/canon-pixma-ip2850-inkjet-printer-review-3529940/,https://www.techadvisor.com/cmsdata/reviews/3529940/canon_pixma_ip2850_1_thumb800.jpg,The Canon PIXMA iP2850 is an inkjet printer that makes good prints and is cheap to buy. Here's our Canon PIXMA iP2850 review.,"Canon's stripped-down basic inkjet printer produces high-quality print results and costs less than £40 but dearer ink costs, photo restrictions and very limited functions might prove a deterrent.",,,$18.99
Android Lollipop vs Android 4.4 KitKat comparison ,https://www.techadvisor.com/review/android-lollipop-vs-android-44-kitkat-comparison-review-3530469/,https://www.techadvisor.com/cmsdata/reviews/3530469/Android-L-vs-Android-KitKat_thumb800.png,Google has announced Android Lollipop so we've compared it side-by-side with Android 4.4 KitKat so you can see the difference.,"Android L is an exciting new version of Google's operating system will a radical redesign. It looks and feels great, automatically making KitKat seem dated. Performance improvements and other new features are a bonus and we expect there to be plenty more when Android L is released later this year.",,,
Powertraveller powermonkey extreme 12V ,https://www.techadvisor.com/review/powermonkey-extreme-review-3530404/,https://www.techadvisor.com/cmsdata/reviews/3530404/powermonkey_extreme_thumb800.jpg,The powermonkey extreme is a portable battery pack that will give your gadgets a boost. It also offers a solar-powered charger for your phone or tablet. Here's our powermonkey extreme 12V review.,"The battery pack alone can be a major asset if you're away from the mains with power-hungry equipment but when bundled with the solar panel, the powermonkey extreme provides an extra level of convenience. Solar power will always be rather hit and miss in the British climate, so don't expect too much except in bright sunlight but, under those conditions, you'll garner a considerable charge during a day's hiking.",,,
Acer Aspire Switch 10 ,https://www.techadvisor.com/review/acer-aspire-switch-10-review-3514212/,https://www.techadvisor.com/cmsdata/reviews/3514212/Acer_Aspire_Switch_10_tablet_mode_thumb800.JPG,"Read our full review of Acer's Aspire Switch 10, the Windows 8.1 laptop and tablet 2 in 1 which can transform into four different modes.","Although the Acer Aspire Switch 10 is very affordable, it's another hybrid which is neither great at being a laptop nor a tablet. It's both bulky and fiddly. We like the IPS screen and the multi-mode ability thanks to the magnetic hinge (minus the top heaviness). However, the keyboard and trackpad are lacklustre and there really nothing to get excited about in terms of specs and performance. We're yet to be convinced by a hybrid.",,,
BenQ EW2740L display ,https://www.techadvisor.com/review/benq-ew2740l-display-review-3530151/,https://www.techadvisor.com/cmsdata/reviews/3530151/BenQ_EW2740L_main_thumb800.jpg,The BenQ EW2740L is an inexpensive 27in monitor that offers good display quality. Here's our BenQ EW2740L review.,"While the BenQ EW2740L isn't priced or pitched as a top-end monitor, for the budget price its performance is remarkably good. If your requirements are more stringent the figures represent something of a mixed bag. Photographers will be drawn by the good gamut and the colour accuracy and, while the contrast ratio could be better, this should fit the bill for less demanding users. Meanwhile, the response time is rather poor for serious gamers. If you're just looking for a 27in monitor for general-purpose use, you could do a lot worse.",,,
Power Jacket for iPhone 5C ,https://www.techadvisor.com/review/power-jacket-for-iphone-5c-review-3530515/,https://www.techadvisor.com/cmsdata/reviews/3530515/Power-Jacket-iPhone-5C-1_thumb800.jpg,"The Power Jacket is a combined battery and case for the iPhone 5c, available in four colours from Mobile Fun. Here's our Power Jacket for iPhone 5c review","The Power Jacket is cheaper than some competing battery cases, but by no means the cheapest. With questionable build quality we’d much rather carry a higher-capacity generic USB battery for reserve power than shell out for this model-specific case.",,,
Synology DS415play NAS ,https://www.techadvisor.com/review/synology-ds415play-nas-review-3530659/,https://www.techadvisor.com/cmsdata/reviews/3530659/DS415Play_thumb800.jpg,The DS415play is a NAS drive aimed at home users that includes a hardware transcoding engine for 1080p video for streaming video to your TV or mobile device. Here's our Synology DS415play NAS review.,"Synology's RRP for the DS415play is £372 and at that price or the inevitably lower real shop prices the company should have a winner on its hands. The competing QNAP TS-469L is faster and has better specifications but is over £100 more expensive. When you combine the performance, price and the siren-like draw of DSM 5.0 this could be a crowd pleaser for the multimedia NAS market.",,,
Sony PlayStation TV hands-on ,https://www.techadvisor.com/review/sony-playstation-tv-hands-on-review-3530834/,https://www.techadvisor.com/cmsdata/reviews/3530834/Sony_PlatStation_TV_homescreen_thumb800.JPG,We've taken a look at the Sony PlayStation TV micro-console streaming box which will launch later this year. Read our Sony PlayStation TV hands-on review.,"At a reasonable price, the PlayStation TV is likely to be a big hit this Christmas – and not just for PS4 owners wanting to use Remote Play. There's huge potential here for the device to be a gadget in its own right but this hinges partly on third-party apps and even more so on PlayStation Now. We hope Sony can get things sorted for the winter season.",,,
Archos Activity Tracker ,https://www.techadvisor.com/review/archos-activity-tracker-review-3531297/,https://www.techadvisor.com/cmsdata/reviews/3531297/Archos-Activity-Tracker-main_thumb800.jpg,"This £50 monitor is a cross between the Nike FuelBand and Fitbit One, and is almost what we wish the Fitbit Flex had been. Here's our Archos Activity Tracker review.","It may cost only £50, but that doesn’t make the Activity Tracker good value. It’s a glorified pedometer and lacks features you’ll find in other trackers such as the Fitbit One, Jawbone Up24 and Nike FuelBand SE. Its only saving grace is the handy clock.",,,
BioLite CampStove ,https://www.techadvisor.com/review/biolite-campstove-review-3530638/,https://www.techadvisor.com/cmsdata/reviews/3530638/BioLite-CampStove_thumb800.jpg,"The BioLite CampStove is a portable charger with a difference. As well as being a camping stove, it also generates power from burning biomass, so you can charge your phone from burning twigs. Here's our BioLite CampStove review.","With very little if any competition, we're not able to compare the BioLite CampStove with similar products. However, in our tests it came close to meeting the manufacturer's claims and proved itself effective both as a camping stove and a charger for portable electronics gear. Our only concern is its typical UK price of around £130, which compares unfavourably with the $130 price in its native US.",,,150
Chillblast Helix gaming laptop ,https://www.techadvisor.com/review/chillblast-helix-gaming-laptop-review-3531701/,https://www.techadvisor.com/cmsdata/reviews/3531701/Chillblast_Helix_Left_Angle_thumb800.jpg,"A gaming laptop that offers high-end performance for a reasonable price, we like the Chillblast Helix. Find out why in our Chillblast Helix review.","The Helix isn't perfect, and its screen and battery life are adequate rather than impressive. However, it manages to provide high-end performance at a competitive mid-range price, and will appeal to gamers who want a laptop that won't break the bank – or their back.",,,
LG 47LB730V smart TV ,https://www.techadvisor.com/review/lg-47lb730v-smart-tv-review-3531190/,https://www.techadvisor.com/cmsdata/reviews/3531190/LB730V_PR_thumb800.jpg,The LG 47LB730V is an elegant and inventive smart TV. If you're a heavy user of streaming services the LG 47LB730V should be high on your audition list. Find out why in our LG 47LB730V review.,"Overall, the LG 47LB730V can be considered a reasonable performer for the price – made entirely more desirable by the inclusion of webOS. Elegant and inventive, this is Smart TV the way it should be done. Consequently, if you're a heavy user of streaming services, be they catch-up or subscription, this screen should be high on your audition list.",,,
Samsung Galaxy Fame ,https://www.techadvisor.com/review/samsung-galaxy-fame-review-3531763/,https://www.techadvisor.com/cmsdata/reviews/3531763/Galaxy_Fame_thumb800.png,The Samsung Galaxy Fame is a very cheap budget Android smartphone. Here's our Galaxy Fame review.,"There's nothing wrong with a cheap, functional smartphone, and the Galaxy Fame is exactly that. The trouble is that even at this price the Fame is being squeezed out by much better phones that cost roughly the same amount. Windows-toting Lumia 520 is a much better performer at a similar size, and the Moto's E and -G knock the Fame for six. It's not a bad deal, but for just a tiny bit more there are better deals to be had.",,,
Optoma EW400 projector ,https://www.techadvisor.com/review/optoma-ew400-projector-review-3531479/,https://www.techadvisor.com/cmsdata/reviews/3531479/optoma_ew400_1_thumb800.jpg,"The Optoma EW400 is a DLP desktop projector. It is attractive and good value, and aimed at education and business environments. Here is our Optoma EW400 projector review.","With prices online as low as £681.65, Optoma's multi-connected EW400 with its bright and clear presentation is an affordable as well as attractive choice for boardrooms and teaching establishments.",,,
Divinity: Original Sin ,https://www.techadvisor.com/review/divinity-original-sin-review-3531686/,https://www.techadvisor.com/cmsdata/reviews/3531686/divinity-original-sin_800_thumb800.jpg,A thoroughly old-school roleplaying game with thoroughly modern values and presentation,"Divinity: Original Sin sometimes creaks under the weight of its many features, but all told it stands proud and provides a wonderful blend of roleplaying's past and present. Rich, vast and very silly where it needs to be, this is a triumphant achievement.",,,
Asus Fonepad 7 LTE ,https://www.techadvisor.com/review/asus-fonepad-7-lte-review-3531788/,https://www.techadvisor.com/cmsdata/reviews/3531788/Asus-Fonepad-7-LTE-review_thumb800.jpg,"The Asus Fonepad 7 LTE is certainly qualifies a 'phablet'. It's a 7in tablet that, you've guessed it, also acts as a phone. It's not to everyone's taste, but it does its job well. Here, we review the Asus Fonepad 7 LTE.","It's tricky to give the Asus Fonepad 7 LTE a solid verdict, because it's a device we think will appeal to only a few. For anyone looking for a 7in tablet that can make phone calls, the Asus Fonepad 7 LTE is certainly worth a look, though we're not completely sure why you'd want to make phone calls on a 7in tablet.",,,
Samsung Galaxy S21 Plus ,https://www.techadvisor.com/review/samsung-galaxy-s21-plus-3802138/,https://www.techadvisor.com/cmsdata/reviews/3802138/samsung_galaxy_s21_plus_review_5_thumb800.jpg,"The Galaxy S21 Plus is all the flagship you'll need in 2021, but existing S20 Plus owners won't be upgrading anytime soon.","The Samsung Galaxy S21 Plus is likely all the 2021 flagship you'll need, offering great performance, improved battery life and a premium design, but with a downgrade in the display department and minor camera upgrades, S20 Plus owners may want to stay away. ","Pros,Premium design, Huge improvements to Exynos performance, Lower starting price","Cons,Very similar to the Galaxy S21, Some downgrades compared to S20 Plus, No charger in the box","$999 (128GB) | $1,049 (256GB)"
Asus RT-AX55 ,https://www.techadvisor.com/review/asus-rt-ax55-3802073/,https://www.techadvisor.com/cmsdata/reviews/3802073/asus-rt-ax55-router-review_thumb800.jpg,"The Asus RT-AX55 is a win-win for buyers on a tight budget with excellent performance, a great app and optional mesh",,"Pros,Fast speeds, Excellent Wi-Fi 6 coverage,User-friendly app, Can be added to a mesh network","Cons,No cheap mesh satellite option,No USB port",$129.99
Samsung Galaxy S21 Ultra ,https://www.techadvisor.com/review/samsung-galaxy-s21-ultra-3801876/,https://www.techadvisor.com/cmsdata/reviews/3801876/galaxy_s21_ultra_review_20_thumb800.jpg,"The Galaxy S21 Ultra is designed to represent the best of Samsung's mobile expertise; spanning design, performance, camera and more. That all doesn't come cheap, though","The Galaxy S21 Ultra is a no-holds-barred uber-flagship with sizeable proportions and a high price, but for your money, you get the most uncompromisingly capable smartphone on the market right now","Pros,Best camera phone to date,Excellent performance,Lighter than expected,Great battery life,Beautiful display","Cons,No charger may irk some,Loss of microSD slot,It's big,Price",1199.99
Haier HTF-508DGS7 Cube fridge freezer ,https://www.techadvisor.com/review/haier-htf-508dgs7-cube-fridge-freezer-3801934/,https://www.techadvisor.com/cmsdata/reviews/3801934/Haier_Cube_HTF-508DGS7_review_thumb800.jpg,"Haier's HTF-508DGS7 Cube is a tech-filled, American-style fridge freezer made to fit a UK kitchen. But should it earn a space in your home? Read on to find out.","The Haier Cube HTF-508DGS7 is luxurious and versatile. Its switch tech and Humidity Zone will give you a huge number of options to keep food stored in perfect condition, but make no mistake: this is a big fridge freezer for a large household. ","Pros,My Zone flexibility,Two programmable fridge boxes,Excellent storage capacity","Cons,Bulky ice maker,Tall at 190+cm,No ice dispenser",0.0
Proscenic P11 cordless vacuum cleaner ,https://www.techadvisor.com/review/proscenic-p11-cordless-vacuum-cleaner-3802187/,https://www.techadvisor.com/cmsdata/reviews/3802187/proscenic_p11_cordless_cleaner_review_thumb800.jpg,"The Proscenic P11 is a budget-friendly cordless vacuum cleaner with powerful suction and plenty of features. Right now, you can get it for under £200 – but is it as much of a bargain as it sounds?","The P11 isn't quite as good as it should be. Its (on paper) powerful suction is no match for deep pile carpets and its great features are slightly let down by its build quality. However, it's a pleasure to use on hard flooring and would be a decent option for tidy minimalists.","Pros,Light, Good charging options, Great features","Cons,Weak on carpets, Average battery life, Not very robust",$299
Vivo TWS Neo ,https://www.techadvisor.com/review/vivo-tws-neo-3802298/,https://www.techadvisor.com/cmsdata/reviews/3802298/vivo_tws_neo-5_thumb800.jpg,"The Vivo TWS Neo wireless earbuds are a solid pair of AirPods rivals, but at full price they're sadly not competitive enough",The Vivo TWS Neo are a decent pair of true wireless earbuds that are probably priced a little high for what they offer.,"Pros,Lightweight design, Good gesture controls, IP54 water-resistance","Cons,Weak bass,Barebones app,Priced too high",£129 (around $180)
Asus ROG Swift PG259QNR ,https://www.techadvisor.com/review/asus-rog-swift-pg259qnr-3802342/,https://www.techadvisor.com/cmsdata/reviews/3802342/asus_rog_swift_pg259qnr__03_thumb800.jpg,"The Asus ROG Swift PG259QNR is the premier option for competitive gaming thanks to its 360Hz refresh rate, but it's overkill for many players - and very expensive","The Asus ROG Swift PG259QNR is the fastest gaming monitor on the planet, and it backs up the speed with solid quality, some smart features and robust design. If you're a top-tier competitive player looking for every advantage, this is the display to get.","Pros,Incredible 360Hz performance, Solid core image quality, Smart anti-latency features, Brilliant build quality","Cons,Limited to 24.5in, Very expensive, Misses out on motion blurring",$799
Freetrain V1 Vest ,https://www.techadvisor.com/review/freetrain-v1-vest-3802376/,https://www.techadvisor.com/cmsdata/reviews/3802376/freetrain_v1_vest_review_main_thumb800.jpg,"Adjustable harness keeps your phone in an accessible position while you run, but has some limitations","While it has limitations, the V1 Vest looks smart, feels robust and breathable, and is the most convenient solution I've so far found to the problem of using a phone while running.","Pros,Snug fit,Good protection for phone","Cons,Difficult to put on,May not suit very large phones",$39.99
Aorus X7 V2 power laptop : Every gamer's dream,https://www.techadvisor.com/review/aorus-x7-v2-power-laptop-review-every-gamers-dream-3580565/,https://www.techadvisor.com/cmsdata/reviews/3580565/Aorus_X7_v2_laptop_thumb800.jpg,How’s this for a gamer’s dream: The Aorus X7 v2 power laptop offers a pair of nVidia GeForce GTX 860M GPUs arranged in SLI configuration. Read our Aorus X7 V2 gaming laptop review.,"The Aorus X7 v2 is a sturdily made all-metal gaming laptop that keeps its waistline to around 1in, even if it still tips the scales beyond 3kg. With its dual-GPU setup it proved itself the fastest gaming laptop in the group, albeit with an unsurprising price premium.",,,
Lenovo B50-30 budget laptop ,https://www.techadvisor.com/review/lenovo-b50-30-budget-laptop-review-3580472/,https://www.techadvisor.com/cmsdata/reviews/3580472/Lenovo_B50-30_3_thumb800.jpg,"Lenovo's B50-30 is a Windows 8 laptop costing just £200, putting it in direct competition with Google's Chromebooks. Read our Lenovo B50-30 budget laptop review.","The Lenovo B50-30 may have a lousy screen, bendy keyboard and a processor so slow that it’s overtaken by budget Android phones of yesteryear. But as a package to compete against Google and its new Chromebook competition it looks feature-packed, thanks to a relatively huge hard disk and even a DVD drive. With a zero-cash-cost Windows operating system, things have just got interesting in the budget laptop space.",,,
Pioneer SPH-DA120 CarPlay first-look ,https://www.techadvisor.com/review/pioneer-sph-da120-first-look-review-3585821/,https://www.techadvisor.com/cmsdata/reviews/3585821/Pioneer-SPH-DA120-review-maps-2_thumb800.jpg,"Apple CarPlay is available at last, and you don't need to buy a brand new car to get it. We get our hands on the Pioneer SPH-DA120 which you can have installed into your existing car for well under £400.","We spent a limited amount of time with the SPH-DA120 and as it's also the first CarPlay system we've tested, it's hard to say whether it's the best one to buy. Aside from Pioneer's earlier (more expensive) models which are upgradeable to CarPlay via a firmware update, this is pretty much your only choice at the moment. It seems reasonable value at this price, too.",,,
DoReMi Mall Omaker S-X5 10000mAh Power Bank ,https://www.techadvisor.com/review/doremi-mall-omaker-s-x5-10000mah-power-bank-review-3580546/,https://www.techadvisor.com/cmsdata/reviews/3580546/Omaker_S-X5_1000mAh_Power_Bank_thumb800.png,"DoReMi Mall's Omaker S-X5 10000mAh Power Bank is a twin-output USB charger, with both ports supporting fast charging at 2.1A. Read our Omaker S-X5 portable USB charger review.","Very evenly matched to the slightly cheaper Lumsing 10400mAh Power Bank, this Omaker S-X5 portable USB charger swaps a little style for improved performance, offering a torch and two fast-charging 2.1A outputs to the Lumsing's one. If you're looking to quickly and simultaneously charge two devices then this may be the better buy, yet it lacks that premium feel of the Lumsing.",,,
McAfee LiveSafe 2015 ,https://www.techadvisor.com/review/mcafee-livesafe-2015-review-3583637/,https://www.techadvisor.com/cmsdata/reviews/3583637/mcafee_livesafe_2015_thumb800.jpg,"McAfee LiveSafe 2015 is an economical way of protecting all of your PCs, laptops, smartphones and tablets. Here is our McAfee LiveSafe 2015 review.","If you run a couple of home Windows PCs, a Mac, a tablet and a smartphone, or a similar combination, McAfee LiveSafe 2015 is an economical way of protecting them all and providing anti-theft facilities on the mobile devices. While the feature set of the IS component of the package may lack back-up and PC tune-up, the power of its AV protection can't be denied.",,,$80
RavPower RP-PB13 Deluxe 14000mAh power bank ,https://www.techadvisor.com/review/ravpower-rp-pb13-deluxe-14000mah-power-bank-review-3586644/,https://www.techadvisor.com/cmsdata/reviews/3586644/RavPower_RP-PB13_Deluxe_3_thumb800.png,"High-capacity power banks aren't always big and heavy, and the RavPower RP-PB13 Deluxe does a good job of packing a decent capacity and keeping down size and weight. Read our RavPower RP-PB13 Deluxe power bank review.","RavPower's RP-PB13 Deluxe is proof that high-capacity power banks don't have to be big and heavy, and it offers good value with 14000mAh capacity at £22. We think the Intocircuit's additional features make it the better deal, however.",,,
Panda Global Protection 2015 ,https://www.techadvisor.com/review/panda-global-protection-2015-review-3583805/,https://www.techadvisor.com/cmsdata/reviews/3583805/Panda_Global_Protection_2015_thumb800.jpg,"The Panda Global Protection 2015 internet security suite will be a good option for those who need to protect a range of different devices from Windows PCs and laptops, to Macs and Android smartphones and tablets. Find out why in our Panda Global Protection 2015 review.","Panda Global Protection 2015 is a good option, if you need to protect a range of different devices from Windows PCs to Macs and Android machines. Not quite as generous as McAfee's ‘as-many-as-you-like' offering and a point off the perfect score in AV-Test's testing, the Panda product costs £20 less, too and is particularly easy to use.",,,
Brother MFC-J4420DW ,https://www.techadvisor.com/review/brother-mfc-j4420dw-review-3582109/,https://www.techadvisor.com/cmsdata/reviews/3582109/Brother_MFC-J4420DW_review_thumb800.jpg,"Need an affordable printer that will mostly print on A4 but occasionally be called upon for larger A3 copies? Here's our Brother MFC-J4420DW review, which might just solve your problem.","The J4420DW's flimsy paper tray is a potential weak spot, so this printer isn't ideal for a busy office that needs to print hundreds of pages every month. However, it’s a versatile and affordable option for home users and small businesses with light printing needs, and who also want the option of producing A3 documents every now and then.
",,,
Kindle Voyage vs Fire HD 7 vs Fire HD 6 comparison,https://www.techadvisor.com/review/amazon-kindle-voyage-vs-fire-hd-7-vs-fire-hd-6-comparison-3586673/,https://www.techadvisor.com/cmsdata/reviews/3586673/Amazon_Kindle_Voyage_vs_Fire_HD_6_vs_Fire_HD_7_thumb800.png,Should you buy a tablet on an eReader? Here we compare Amazon's Kindle Voyage with the Fire HD 6 and Fire HD 7.,"If you're looking for a device for reading eBooks only then go for the Kindle Voyage (or a cheaper model if it's too pricey). However, if you like the idea of being able to read books and various other things on a regular display, then pick the Fire HD which suits your budget and/or screen size requirement.",,,$199
Nokia N1 vs Google Nexus 9,https://www.techadvisor.com/review/nokia-n1-vs-nexus-9-comparison-3586677/,https://www.techadvisor.com/cmsdata/reviews/3586677/Nokia_N1_vs_Google_Nexus_9_thumb800.jpg,"Nokia yesterday announced its N1 Android Lollipop tablet, but how does it compare to that other high-end Android Lollipop tablet, the Nexus 9? Here we compare the Nokia N1 and Nexus 9 spec for spec to see which offers the better deal on paper.","Looking at the specs alone it is very difficult to tell which of these tablets offers the better deal. While the Nokia N1 is cheaper, with a better screen and front camera, and more storage as standard, the Nexus 9 is straight out of Google's stable and will get all the associated benefits. It's probably faster, and it has a larger - if not sharper - screen, plus better speakers. The Nexus 9 is also available, and we've held it in our hands. Which makes it difficult to recommend the Nokia N1 over the Nexus 9, especially bearing in mind that this is no longer the same Nokia that makes great phones, and that this is not a Windows Phone but an Android tablet.",,,
Google Chromecast vs Amazon Fire TV,https://www.techadvisor.com/review/google-chromecast-vs-amazon-fire-tv-3589000/,https://www.techadvisor.com/cmsdata/reviews/3589000/Amazon-Fire-TV-vs-Chromecast_thumb800.jpg,"Which media streamer should you buy? Google's Chromecast is cheap but needs a smartphone or tablet to control it, which Amazon's Fire TV is more expensive and works best if you subscribe to the company's Instant Video service. Here's our Fire TV vs Chromecast comparison.","Both devices are good in their own ways. They're aimed at different people and if you've already bought content from Google, it could make sense to get a Chromecast. Likewise, those with other Amazon devices and subscriptions (particularly Prime) would be best off with the Fire TV. Both the Fire TV and Chromecast limit what you can watch online, and are roughly equal when it comes to UK-specific content.",,,
Apple iMac with Retina 5K display all-in-one PC ,https://www.techadvisor.com/review/apple-imac-with-retina-5k-display-all-in-one-pc-review-3580711/,https://www.techadvisor.com/cmsdata/reviews/3580711/Apple_imac_5k_retina_review_thumb800.png,"Apple has updated its iMac with a new option for an ultra-high resolution display, four times that of earlier 27in models, and 16 times the original 720p HD format. Here's our new iMac with 5K Retina display review.","The iMac with Retina 5K display is obviously in a class of its own, as well it should be at this price. However, the level of performance and ergonomics you get make it a very good value for money option if you can afford it. If you want touch input or to use it as an external display then it’s not for you, but in all other respects it’s an excellent PC and well worth the money",,,
Philips Fidelio M2BT Bluetooth headphones ,https://www.techadvisor.com/review/philips-fidelio-m2bt-bluetooth-headphones-review-3590410/,https://www.techadvisor.com/cmsdata/reviews/3590410/Philips-Fidelio-M2BT-BluetoothPhilips-Fidelio-M2BT-Bluetooth-headphones-1_thumb800.jpg,"The Philips Fidelio M2BT are wireless, Bluetooth headphones that will please people who like the bassier Beats headphone sound.","The Philips Fidelio M2BT Bluetooth headphones are well made and comfortable, and most importantly sound good. From a pure audio point of view we did find them rather bassy with the high treble slightly subdued. If you like the sound from Beats headphones you’ll probably like these too. From a portable point of view we prefer the more foldable Sennheiser MM 400-X for walking commuters as they’re lighter and suffer less from vibration interference, but the Fidelio M2BT are a fine choice for train, plane and home/office environments.",,,
Lenovo IdeaPad Z50-70 budget laptop ,https://www.techadvisor.com/review/lenovo-ideapad-z50-70-budget-laptop-review-3590500/,https://www.techadvisor.com/cmsdata/reviews/3590500/Lenovo_IdeaPad_Z50-70_thumb800.jpg,"The Lenovo Z50-70 is a 15in budget laptop with a full HD display and discrete nVidia graphics. It offers decent gaming, quality build and design, and a five-hour battery life. Find out more in our Lenovo IdeaPad Z50-70 budget laptop review.","The Lenovo Z50-70 is a well-rounded 15-inch laptop with a full-HD display and discrete nVidia graphics that can handle better gaming than many comparable budget laptops. Its build quality is good for the price, and battery life of around five hours, plus sub-2.4 kg weight, makes it more usable as mobile workstation.",,,
Acer Aspire V 13 budget laptop ,https://www.techadvisor.com/review/acer-aspire-v-13-budget-laptop-review-3590654/,https://www.techadvisor.com/cmsdata/reviews/3590654/Acer_Aspire_V_13_thumb800.jpg,"A classic budget laptop, the Acer Aspire V 13 eschews a touchscreen to focus on better wireless and faster storage. Graphics and system performance, and battery life are good, as we find in our Acer Aspire V 13 review. Acer Aspire V 13 budget laptop benchmarks and test.","Acer has a winner here, leaving out dumb extras like touchscreen tech and focusing on better wireless and faster storage. The use of recent Intel chip also rewards the user with slightly better graphics and system performance, including more usable battery life. Besides these components choices, the casework and design as a whole have a simplicity that really benefits the product. Only the trackpad and display let down what could still make a budget classic.",,,
Saygus V2 320GB smartphone hands-on ,https://www.techadvisor.com/review/saygus-v2-hands-on-review-3593114/,https://www.techadvisor.com/cmsdata/reviews/3593114/Saygus_V2_5_thumb800.JPG,The Saygus V2 is the smartphone which can pack 320 GB. Find out more about it in our hands-on review from CES 2015.,Although we haven't been able to test out the Saygus V2 fully the device has potential and we're looking forward to seeing a final sample. The smartphone looks good and is packed with tech as what we're promised will be a reasonable price ($100 less than similar phones). One to watch out for this year.,,,
Asus X751L budget laptop ,https://www.techadvisor.com/review/asus-x751l-budget-laptop-review-3590660/,https://www.techadvisor.com/cmsdata/reviews/3590660/Asus_X751L_thumb800.jpg,The Asus X751L is a large-screen laptop with a budget price. Find out more in our Asus X751L budget laptop review.,"Larger-laptop seekers may find something to like in this 17.3-inch model. In its favour is a decent CPU, storage capacity and memory, and the screen is not the worst we've seen.",,,
EC Technology Foldable Bluetooth Keyboard ,https://www.techadvisor.com/review/ec-technology-foldable-bluetooth-keyboard-review-3593232/,https://www.techadvisor.com/cmsdata/reviews/3593232/EC_Tech_Foldable_Bluetooth_Keyboard_review_2_thumb800.jpg,"For the ultimate in portability, EC Tech's Foldable Bluetooth Keyboard closes up into a tiny 146x17x93mm package for easy transportation, making working on your phone or tablet on the go a cinch. Read our EC Technology Foldable Bluetooth Keyboard review.","EC Technology's Foldable Bluetooth Keyboard is a neat idea, not much larger than your smartphone but unfolding into a reasonably sized keyboard that's ideal for working on a mobile device.",,,
BT TV Starter ,https://www.techadvisor.com/review/bt-tv-starter-review-3593183/,https://www.techadvisor.com/cmsdata/reviews/3593183/BT-TV-Starter-review---YouView_thumb800.jpg,BT has launched a new budget package to compete with TalkTalk and Sky. Here’s our BT TV Starter package review.,"Although £5.99 per month sounds ridiculously cheap, the average monthly cost over 18 months is closer to £20. Since you can't record shows using the bundled YouView box, you may not be saving all that much compared to a package that includes the full-blown YouView recorder.",,,
Toshiba Glass hands-on ,https://www.techadvisor.com/review/toshiba-glass-hands-on-review-3593254/,https://www.techadvisor.com/cmsdata/reviews/3593254/Toshiba-Glass-hands-on-preview_thumb800.jpg,Find out what we thought of Toshiba's smartglasses in our Toshiba Glass hands-on review from CES 2015.,"Toshiba Glass is still in relatively early stages of development, so there's no idea of a consumer release date or price for the wearable gadget yet, but we'll update this article with more information as it arrives. For businesses, Toshiba Glass may actually become available this year.",,,
Acer Aspire VN7-591G 4k laptop ,https://www.techadvisor.com/review/acer-aspire-vn7-591g-4k-laptop-review-3593497/,https://www.techadvisor.com/cmsdata/reviews/3593497/Acer-Aspire-V-Nitro-Black-Edition-800_thumb800.jpg,"The Acer Aspire V 15 Nitro Black Edition is an entertainment-focused laptop with an Ultra-HD display, decent graphics processor, and good speakers. Here's our Acer Aspire VN7-591G review.","Design and build quality are in line with expectations for a midrange laptop, while Intel and nVidia processors are also from the higher end of modern midrange laptops. At only around three hours, battery life was poor, suggesting this model will be mostly tethered to the mains. The display is the standout feature with great image quality, even if it doesn't lend itself to gaming at its 4K native resolution. Nor indeed would this laptop play our 4K sample video files properly, which makes it hard to recommend this 4K laptop for watching UHD 4K video or playing games at 4K resolution. ",,,
Lenovo Vibe Band VB10 hands-on ,https://www.techadvisor.com/review/lenovo-vibe-band-vb10-hands-on-review-3593255/,https://www.techadvisor.com/cmsdata/reviews/3593255/Lenovo_Vibe_Band_VB10_6_thumb800.JPG,"Like many firms, Lenovo is looking to the wearable market as it grows. We've taken a look at the Vibe Band VB10 at CES 2015 so here's our hands-on review.",The Lenovo Vibe Band VB10 might be plastic and a bit sluggish but it is very affordable and combines activity tracking and smartwatch features. We're eager to test it out fully. ,,,
